mk.names;chr;pos.ind;pos.cM;log10pval;Grinkan;IS23540;CSM388;White_Kaur
S1_169119;1;26;0.523058018;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_169231;1;27;0.523436638;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_175396;1;28;0.544277691;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_197383;1;29;0.618605707;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_197561;1;30;0.619207444;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_197752;1;31;0.619853128;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_205605;1;32;0.646400538;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_205610;1;33;0.646417441;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_217818;1;34;0.687687119;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_218324;1;35;0.689397674;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230672;1;36;0.731140629;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230679;1;37;0.731164293;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230684;1;38;0.731181196;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230688;1;39;0.731194718;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230690;1;40;0.731201479;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_230705;1;41;0.731252187;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_258333;1;42;0.824649851;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_258597;1;43;0.825542314;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_264647;1;44;0.845994604;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_290944;1;45;0.934892764;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_298324;1;46;0.959841177;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_309547;1;47;0.99778102;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_311448;1;48;1.004207434;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_329032;1;49;1.063650916;4.380425177;1;0.134098371;0.432118063;7.06E-06
S1_351803;1;50;1.140629278;4.380425177;1;0.134098371;0.432118063;7.06E-06
S1_370573;1;51;1.204082085;4.380425178;1;0.134098371;0.432118063;7.06E-06
S1_380530;1;52;1.23774216;4.380425175;1;0.134098371;0.432118067;7.06E-06
S1_391651;1;53;1.275337187;4.380372816;1;0.134098516;0.432211515;7.06E-06
S1_391829;1;54;1.275938924;4.356508857;1;0.13416452;0.478317313;7.09E-06
S1_391945;1;55;1.276331067;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_392071;1;56;1.276757015;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_392101;1;57;1.276858432;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_392147;1;58;1.277013937;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_399172;1;59;1.300762257;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_409867;1;60;1.336917173;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_410220;1;61;1.338110504;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_410224;1;62;1.338124027;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_419579;1;63;1.364433741;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_434076;1;64;1.401603182;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_450895;1;65;1.444726093;4.356507903;1;0.134164522;0.47831931;7.09E-06
S1_551740;1;66;1.703286644;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_551781;1;67;1.703391765;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_565854;1;68;1.739474096;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_569299;1;69;1.74830687;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_577508;1;70;1.769354255;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_577509;1;71;1.769356819;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_577513;1;72;1.769367075;4.356507903;1;0.134164523;0.47831931;7.09E-06
S1_577520;1;73;1.769385023;4.356507903;1;0.134164522;0.47831931;7.09E-06
S1_577521;1;74;1.769387586;4.356508438;1;0.134164301;0.478319308;7.09E-06
S1_577529;1;75;1.769408098;4.435234062;1;0.10550965;0.478072535;7.00E-06
S1_588003;1;76;1.796262808;4.439784476;1;0.104073656;0.478058275;7.00E-06
S1_669229;1;77;2.004521416;4.439786236;1;0.104073105;0.478058269;7.00E-06
S1_676290;1;78;2.022625398;4.439786236;1;0.104073105;0.478058269;7.00E-06
S1_691574;1;79;2.06181266;4.439786236;1;0.104073105;0.478058269;7.00E-06
S1_697551;1;80;2.07713733;4.439786236;1;0.104073105;0.478058269;7.00E-06
S1_697553;1;81;2.077142458;4.439786236;1;0.104073105;0.478058269;7.00E-06
S1_698423;1;82;2.079373086;4.43978656;1;0.104073104;0.478058268;7.00E-06
S1_731775;1;83;2.16488562;4.526760943;1;0.103859613;0.477785743;5.63E-06
S1_745865;1;84;2.201011538;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_759397;1;85;2.235706777;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_759845;1;86;2.236855422;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_759868;1;87;2.236914393;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_764950;1;88;2.249944337;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_764952;1;89;2.249949465;4.526759312;1;0.103859617;0.477785748;5.63E-06
S1_767616;1;90;2.256779802;4.526764678;1;0.103859604;0.477785728;5.63E-06
S1_778679;1;91;2.285144672;4.814846504;1;0.103137236;0.476654347;2.75E-06
S1_778982;1;92;2.285921546;4.894432852;1;0.09763349;0.370792356;2.72E-06
S1_780411;1;93;2.289585417;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_780412;1;94;2.289587981;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_815532;1;95;2.379633561;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_820236;1;96;2.391694336;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_820578;1;97;2.392571203;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_820580;1;98;2.392576331;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_820731;1;99;2.392963486;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_820935;1;100;2.39348653;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_821014;1;101;2.393689081;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_824067;1;102;2.401516791;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_829571;1;103;2.415628718;4.89444767;1;0.097633173;0.370772653;2.72E-06
S1_829854;1;104;2.416354313;4.894447662;1;0.097633173;0.370772653;2.72E-06
S1_841834;1;105;2.447070316;4.8860501;1;0.097653086;0.370801156;2.77E-06
S1_841841;1;106;2.447088264;4.630813615;1;0.098259884;0.37166812;5.23E-06
S1_842282;1;107;2.448218962;4.629586427;1;0.098262808;0.371672292;5.25E-06
S1_853909;1;108;2.478029894;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_853949;1;109;2.478132452;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_853975;1;110;2.478199115;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_854062;1;111;2.478422177;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_854170;1;112;2.478699083;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_854524;1;113;2.479606718;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_854618;1;114;2.479847728;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_906853;1;115;2.613775145;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_906856;1;116;2.613782837;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_909172;1;117;2.619720923;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_909241;1;118;2.619897834;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_910127;1;119;2.622169485;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_911518;1;120;2.625735926;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_911521;1;121;2.625743618;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_911933;1;122;2.626799961;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_911982;1;123;2.626925595;4.629584806;1;0.098262812;0.371672297;5.25E-06
S1_912044;1;124;2.627084559;4.629584807;1;0.098262812;0.371672297;5.25E-06
S1_912071;1;125;2.627153785;4.629596282;1;0.098259442;0.371672258;5.25E-06
S1_912109;1;126;2.627251215;4.936089484;1;0.040533026;0.370631328;5.01E-06
S1_912111;1;127;2.627256343;4.936090165;1;0.040532948;0.370631326;5.01E-06
S1_912118;1;128;2.62727429;4.936090166;1;0.040532948;0.370631326;5.01E-06
S1_914859;1;129;2.634302051;4.936090166;1;0.040532948;0.370631326;5.01E-06
S1_914872;1;130;2.634335382;4.936090166;1;0.040532948;0.370631326;5.01E-06
S1_924678;1;131;2.65947738;4.936090166;1;0.040532948;0.370631326;5.01E-06
S1_936125;1;132;2.688826803;4.936090166;1;0.040532948;0.370631326;5.01E-06
S1_936132;1;133;2.688844751;4.936090167;1;0.040532948;0.370631324;5.01E-06
S1_950670;1;134;2.726119314;4.995049957;1;0.040449565;0.298157694;4.97E-06
S1_950696;1;135;2.726185976;4.995049953;1;0.040449565;0.298157688;4.97E-06
S1_1010644;1;136;2.879889064;4.390461703;1;0.041311537;0.300232511;2.25E-05
S1_1010740;1;137;2.880135202;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1010750;1;138;2.880160842;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1011103;1;139;2.881065913;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1011133;1;140;2.881142831;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1022376;1;141;2.909969211;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1033530;1;142;2.9385674;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1044823;1;143;2.967521977;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1050129;1;144;2.981126243;4.390461642;1;0.041311537;0.300232511;2.25E-05
S1_1081990;1;145;3.065478235;4.390461636;1;0.041311537;0.300232517;2.25E-05
S1_1139066;1;146;3.237668823;4.390243183;1;0.041311851;0.300467955;2.25E-05
S1_1139645;1;147;3.239415588;4.3462765;1;0.041375149;0.353246907;2.27E-05
S1_1140473;1;148;3.241913552;4.346274106;1;0.041375152;0.353251039;2.27E-05
S1_1147483;1;149;3.263061776;4.321611865;1;0.041410695;0.353335609;2.41E-05
S1_1147506;1;150;3.263131164;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1148137;1;151;3.265034806;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1148138;1;152;3.265037823;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1148272;1;153;3.265442083;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1163807;1;154;3.312309081;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1163826;1;155;3.312366401;4.321611838;1;0.041410695;0.353335609;2.41E-05
S1_1168861;1;156;3.327556317;4.321611812;1;0.041410695;0.353335644;2.41E-05
S1_1191636;1;157;3.396265418;4.31925588;1;0.041414092;0.356505641;2.41E-05
S1_1191662;1;158;3.396343857;4.258792783;1;0.041501352;0.4539817;2.43E-05
S1_1197643;1;159;3.414387726;4.258064517;1;0.041502404;0.455388952;2.43E-05
S1_1198529;1;160;3.417060669;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1199983;1;161;3.42144719;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1204210;1;162;3.434199479;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1204242;1;163;3.434296019;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1209261;1;164;3.449437664;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1209278;1;165;3.449488951;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1209355;1;166;3.44972125;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1209573;1;167;3.450378926;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1209584;1;168;3.450412112;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1218684;1;169;3.477865583;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1224424;1;170;3.495182389;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1224498;1;171;3.495405637;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1262352;1;172;3.609606046;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1262735;1;173;3.610761505;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1266692;1;174;3.62269924;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1269342;1;175;3.630693932;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1269386;1;176;3.630826674;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1273857;1;177;3.644315078;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1273858;1;178;3.644318095;4.258064512;1;0.041502404;0.455388963;2.43E-05
S1_1273860;1;179;3.644324129;4.258075827;1;0.041502387;0.455388926;2.43E-05
S1_1273864;1;180;3.644336196;4.590887448;1;0.041024061;0.454320028;1.05E-05
S1_1288629;1;181;3.688880208;4.623136335;1;0.040977968;0.454216541;9.73E-06
S1_1289841;1;182;3.692536649;4.623136215;1;0.040977968;0.454216989;9.73E-06
S1_1297611;1;183;3.71597769;4.592161444;1;0.041022239;0.520862536;9.77E-06
S1_1326223;1;184;3.802296232;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1327153;1;185;3.805101917;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1335448;1;186;3.830126812;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1335494;1;187;3.830265588;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1335531;1;188;3.830377212;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1335558;1;189;3.830458667;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1335560;1;190;3.830464701;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1336417;1;191;3.833050154;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1336459;1;192;3.833176863;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1339480;1;193;3.842290812;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1339483;1;194;3.842299863;4.592155694;1;0.041022248;0.520876423;9.77E-06
S1_1339491;1;195;3.842323998;4.592155733;1;0.041022248;0.520876423;9.77E-06
S1_1343288;1;196;3.853779034;4.929419521;1;0.040542391;0.519876861;4.21E-06
S1_1343322;1;197;3.853881607;4.92941959;1;0.040542391;0.51987702;4.21E-06
S1_1348345;1;198;3.869035321;4.917123364;1;0.040559802;-0.55099087;4.22E-06
S1_1348683;1;199;3.870055021;4.917124564;1;0.040559801;-0.550987667;4.22E-06
S1_1378459;1;200;3.959885194;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1379314;1;201;3.962464614;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1381641;1;202;3.969484859;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1418359;1;203;4.080258109;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1418362;1;204;4.08026716;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1418462;1;205;4.080568846;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1418489;1;206;4.080650301;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1423342;1;207;4.095291147;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1425478;1;208;4.101735171;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1434571;1;209;4.129167525;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1434647;1;210;4.129396807;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1434764;1;211;4.12974978;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1443395;1;212;4.155788342;4.917124569;1;0.040559801;-0.550987653;4.22E-06
S1_1443426;1;213;4.155881865;4.91712457;1;0.040559801;-0.550987651;4.22E-06
S1_1443769;1;214;4.156916649;4.917261192;1;0.040559607;-0.550623241;4.22E-06
S1_1443778;1;215;4.156943801;4.98937149;1;0.040457589;-0.402869682;4.18E-06
S1_1443779;1;216;4.156946818;4.989371866;1;0.040457589;-0.402869081;4.18E-06
S1_1463342;1;217;4.215965749;4.989414024;1;0.040457529;-0.402868354;4.18E-06
S1_1469151;1;218;4.233490718;5.023675139;1;0.040409133;-0.402754083;3.84E-06
S1_1469165;1;219;4.233532954;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1469166;1;220;4.233535971;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1469168;1;221;4.233542004;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471517;1;222;4.24062862;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471533;1;223;4.24067689;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471550;1;224;4.240728177;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471566;1;225;4.240776447;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471568;1;226;4.240782481;5.023675118;1;0.040409133;-0.402754083;3.84E-06
S1_1471580;1;227;4.240818683;5.023675117;1;0.040409133;-0.402754084;3.84E-06
S1_1472950;1;228;4.244951788;5.021516736;1;0.040412181;-0.406229041;3.84E-06
S1_1472976;1;229;4.245030227;5.156485146;1;0.040221984;0.248403113;3.76E-06
S1_1472985;1;230;4.245057378;5.156493124;1;0.040221973;0.248396373;3.76E-06
S1_1491206;1;231;4.300027676;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1491207;1;232;4.300030693;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1531373;1;233;4.421206094;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1534528;1;234;4.430724303;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1534576;1;235;4.430869113;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1536779;1;236;4.437515266;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1536966;1;237;4.43807942;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1537040;1;238;4.438302668;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1537041;1;239;4.438305685;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1537050;1;240;4.438332837;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1539298;1;241;4.445114749;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1553727;1;242;4.488645095;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1557555;1;243;4.500193654;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1557791;1;244;4.500905634;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1559381;1;245;4.50570245;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1579577;1;246;4.566631056;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1579632;1;247;4.566796984;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1610487;1;248;4.659882354;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1612076;1;249;4.664676153;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1622401;1;250;4.695825284;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1622402;1;251;4.695828301;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1622403;1;252;4.695831318;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1624216;1;253;4.701300894;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635548;1;254;4.735488009;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635565;1;255;4.735539295;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635566;1;256;4.735542312;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635570;1;257;4.73555438;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635571;1;258;4.735557397;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635572;1;259;4.735560413;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635574;1;260;4.735566447;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635577;1;261;4.735575498;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1635727;1;262;4.736028028;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1638283;1;263;4.743739135;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1638481;1;264;4.744336474;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1638482;1;265;4.744339491;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1647070;1;266;4.770248328;5.156493933;1;0.040221972;0.248395689;3.76E-06
S1_1647100;1;267;4.770338834;5.156493933;1;0.040221972;0.24839569;3.76E-06
S1_1698961;1;268;4.926796471;5.134960155;1;0.040252267;0.267438364;3.77E-06
S1_1699266;1;269;4.927716615;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1756795;1;270;5.101273843;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1776544;1;271;5.160853911;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1779131;1;272;5.168658541;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1779216;1;273;5.168914974;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1790671;1;274;5.203473163;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1796914;1;275;5.222307452;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1800405;1;276;5.232839328;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1800458;1;277;5.232999221;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1800463;1;278;5.233014306;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1800841;1;279;5.234154681;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1817603;1;280;5.284723372;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1817611;1;281;5.284747507;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1817616;1;282;5.284762592;5.134960145;1;0.040252267;0.267438373;3.77E-06
S1_1817926;1;283;5.28569782;5.134961224;1;0.040252266;0.267438369;3.77E-06
S1_1821209;1;284;5.295602188;4.77296454;1;0.040764399;0.268666117;9.28E-06
S1_1822844;1;285;5.300534762;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1822876;1;286;5.300631302;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1823081;1;287;5.301249759;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1844662;1;288;5.366356723;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1844683;1;289;5.366420077;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1844690;1;290;5.366441196;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1844695;1;291;5.36645628;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857391;1;292;5.404758398;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857450;1;293;5.404936393;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857459;1;294;5.404963545;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857549;1;295;5.405235063;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857572;1;296;5.405304451;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1857574;1;297;5.405310485;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1866779;1;298;5.433080727;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1873206;1;299;5.452470119;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1874840;1;300;5.457399676;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1875064;1;301;5.458075454;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1883332;1;302;5.483018894;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1893363;1;303;5.513281067;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1893446;1;304;5.513531467;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1897286;1;305;5.525116229;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1897297;1;306;5.525149414;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1906670;1;307;5.55342649;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1907850;1;308;5.556986391;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1914497;1;309;5.577039493;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1914503;1;310;5.577057594;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1921010;1;311;5.596688335;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1921019;1;312;5.596715487;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1921036;1;313;5.596766773;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1921039;1;314;5.596775824;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1921472;1;315;5.598082126;4.77294197;1;0.040764431;0.268666194;9.28E-06
S1_1929156;1;316;5.621263717;4.772943231;1;0.040764429;0.268665018;9.28E-06
S1_1933362;1;317;5.633952652;4.786899543;1;0.040744584;0.256026299;9.27E-06
S1_1933366;1;318;5.633964719;5.074364816;1;0.040337619;0.102910268;8.89E-06
